,PUB_ID,PUB_NAME
0,101,Nintendo
1,102,Microsoft Game Studios
2,103,Sony Interactive Entertainment
3,104,Sony Computer Entertainment
4,105,Square
5,106,Square Enix
6,107,Blizzard Entertainment
7,108,Capcom
8,109,Electronic Arts
9,110,Sega
10,111,Invisible Handlebar
11,112,Ubisoft
12,113,Strategy First
